FrameID,PedID,x,y
1,1,0.25694,-0.37778
1,2,0.10764,-0.56111
1,3,0.40625,-0.2
1,4,0.47569,0.10556
1,5,-0.35069,0.48611
1,6,-0.37847,0.53611
1,7,-0.51389,0.65
1,8,-0.30903,0.26111
1,9,0.24306,-0.775
1,10,0.024306,-0.96111
2,1,0.25347,-0.38611
2,2,0.10764,-0.56944
2,3,0.39931,-0.19444
2,4,0.47569,0.11667
2,5,-0.35069,0.48611
2,6,-0.37847,0.53611
2,7,-0.51389,0.65278
2,8,-0.30903,0.26111
2,9,0.24306,-0.78333
2,10,0.024306,-0.96111
3,1,0.25347,-0.39722
3,2,0.11111,-0.57778
3,3,0.39236,-0.18889
3,4,0.47569,0.125
3,5,-0.35069,0.48611
3,6,-0.37847,0.53611
3,7,-0.51389,0.65556
3,8,-0.30903,0.26111
3,9,0.24653,-0.79167
3,10,0.024306,-0.96111
4,1,0.25,-0.40556
4,2,0.11111,-0.58889
4,3,0.38542,-0.18056
4,4,0.47569,0.13611
4,5,-0.35069,0.48611
4,6,-0.37847,0.53611
4,7,-0.51389,0.65833
4,8,-0.30903,0.26111
4,9,0.24653,-0.8
4,10,0.024306,-0.96111
5,1,0.25,-0.41667
5,2,0.11458,-0.59722
5,3,0.37847,-0.175
5,4,0.47569,0.14722
5,5,-0.35069,0.48611
5,6,-0.37847,0.53611
5,7,-0.51389,0.66111
5,8,-0.30903,0.26111
5,9,0.24653,-0.80833
5,10,0.024306,-0.96111
6,1,0.24653,-0.425
6,2,0.11458,-0.60556
6,3,0.36806,-0.16944
6,4,0.47569,0.15556
6,5,-0.35069,0.48611
6,6,-0.37847,0.53611
6,7,-0.51389,0.66389
6,8,-0.30903,0.26111
6,9,0.25,-0.81944
6,10,0.024306,-0.96111
7,1,0.24653,-0.43333
7,2,0.11458,-0.61389
7,3,0.36111,-0.16389
7,4,0.47222,0.16667
7,5,-0.35069,0.48611
7,6,-0.37847,0.53611
7,7,-0.51389,0.66667
7,8,-0.30903,0.26111
7,9,0.25,-0.82778
7,10,0.024306,-0.95833
8,1,0.24306,-0.44444
8,2,0.11806,-0.62222
8,3,0.35417,-0.15833
8,4,0.47222,0.17778
8,5,-0.35069,0.48611
8,6,-0.37847,0.53611
8,7,-0.51389,0.66944
8,8,-0.30903,0.26111
8,9,0.25,-0.83611
8,10,0.024306,-0.95833
9,1,0.24306,-0.45278
9,2,0.11806,-0.63333
9,3,0.34722,-0.15
9,4,0.47222,0.18889
9,5,-0.35069,0.48611
9,6,-0.37847,0.53611
9,7,-0.51389,0.67222
9,8,-0.30903,0.26111
9,9,0.25,-0.84444
9,10,0.024306,-0.95833
10,1,0.23958,-0.46389
10,2,0.12153,-0.64167
10,3,0.34028,-0.14444
10,4,0.47222,0.19722
10,5,-0.35069,0.48611
10,6,-0.37847,0.53611
10,7,-0.51389,0.675
10,8,-0.30903,0.26111
10,9,0.25347,-0.85278
10,10,0.024306,-0.95833
11,1,0.23958,-0.47222
11,2,0.12153,-0.65
11,3,0.33333,-0.13889
11,4,0.47222,0.20833
11,5,-0.35069,0.48611
11,6,-0.37847,0.53611
11,7,-0.51389,0.67778
11,8,-0.30903,0.26111
11,9,0.25347,-0.86111
11,10,0.024306,-0.95833
12,3,0.32639,-0.13056
12,4,0.47222,0.21667
12,5,-0.35069,0.48611
