FrameID,PedID,x,y
780,1,0.3625,-0.1375
781,1,0.375,-0.1375
782,1,0.38333,-0.13438
783,1,0.39583,-0.13438
784,1,0.40833,-0.13438
785,1,0.41667,-0.13125
786,1,0.42917,-0.13125
787,1,0.44167,-0.12813
788,1,0.45,-0.125
789,1,0.4625,-0.125
790,1,0.475,-0.12187
791,1,0.48333,-0.11875
792,1,0.49583,-0.11562
793,1,0.50833,-0.11562
794,1,0.52083,-0.1125
795,1,0.52917,-0.1125
796,1,0.54167,-0.10938
797,1,0.55417,-0.10938
798,1,0.56667,-0.10625
799,1,0.575,-0.10625
800,1,0.5875,-0.10313
801,1,0.59583,-0.10313
802,1,0.60833,-0.1
803,1,0.61667,-0.1
804,1,0.62917,-0.096875
804,2,0.8375,0.046875
805,1,0.64167,-0.09375
805,2,0.82083,0.046875
806,1,0.65417,-0.090625
806,2,0.80417,0.04375
807,1,0.6625,-0.0875
807,2,0.78333,0.04375
808,1,0.675,-0.08125
808,2,0.76667,0.04375
809,1,0.6875,-0.078125
809,2,0.75,0.040625
810,1,0.7,-0.075
810,2,0.73333,0.040625
811,1,0.7125,-0.071875
811,2,0.725,0.040625
812,1,0.725,-0.06875
812,2,0.72083,0.040625
813,1,0.73333,-0.06875
813,2,0.7125,0.0375
814,1,0.74583,-0.065625
814,2,0.70833,0.0375
815,1,0.75833,-0.0625
815,2,0.7,0.0375
816,1,0.77083,-0.059375
816,2,0.69583,0.0375
817,2,0.68333,0.0375
818,2,0.675,0.040625
819,2,0.6625,0.040625
820,2,0.65417,0.040625
821,2,0.64167,0.04375
822,2,0.63333,0.04375
823,2,0.62083,0.04375
824,2,0.60833,0.04375
825,2,0.59167,0.04375
826,2,0.57917,0.04375
827,2,0.56667,0.04375
828,2,0.55417,0.04375
829,2,0.54583,0.046875
830,2,0.54167,0.05
831,2,0.53333,0.05625
832,2,0.525,0.059375
833,2,0.52083,0.0625
834,2,0.5125,0.065625
834,3,0.75,0.11563
835,2,0.50417,0.065625
835,3,0.74167,0.11563
836,2,0.49583,0.065625
836,3,0.7375,0.11875
837,2,0.4875,0.06875
837,3,0.72917,0.11875
838,2,0.47917,0.06875
838,3,0.725,0.11875
839,2,0.47083,0.06875
839,3,0.71667,0.12187
840,2,0.4625,0.06875
840,3,0.7125,0.12187
841,2,0.45417,0.06875
841,3,0.70417,0.125
842,2,0.44583,0.06875
842,3,0.69583,0.125
843,2,0.4375,0.06875
843,3,0.68333,0.12813
844,2,0.42917,0.06875
844,3,0.675,0.12813
845,2,0.42083,0.06875
845,3,0.66667,0.13125
846,2,0.4125,0.06875
846,3,0.65833,0.13125
846,4,-0.53333,-0.046875
846,5,-0.54167,-0.096875
846,6,0.74167,0.040625
847,2,0.40417,0.06875
847,3,0.64583,0.12813
847,4,-0.525,-0.046875
847,5,-0.53333,-0.096875
847,6,0.73333,0.040625
848,2,0.39583,0.071875
848,3,0.6375,0.12813
848,4,-0.51667,-0.046875
848,5,-0.525,-0.09375
848,6,0.725,0.04375
849,2,0.38333,0.071875
849,3,0.625,0.125
849,4,-0.5125,-0.046875
849,5,-0.52083,-0.09375
849,6,0.7125,0.04375
850,2,0.375,0.071875
850,3,0.6125,0.12187
850,4,-0.50417,-0.046875
850,5,-0.5125,-0.09375
850,6,0.70417,0.04375
851,2,0.36667,0.075
851,3,0.60417,0.12187
851,4,-0.49583,-0.046875
851,5,-0.50417,-0.090625
851,6,0.69583,0.046875
852,2,0.35833,0.075
852,3,0.59167,0.11875
852,4,-0.4875,-0.046875
852,5,-0.49583,-0.090625
852,6,0.6875,0.046875
853,2,0.35,0.075
853,3,0.58333,0.11875
853,4,-0.47917,-0.046875
853,5,-0.4875,-0.090625
853,6,0.675,0.046875
854,2,0.34167,0.078125
854,3,0.575,0.11875
854,4,-0.47083,-0.046875
854,5,-0.47917,-0.090625
854,6,0.66667,0.046875
855,2,0.33333,0.078125
855,3,0.56667,0.11563
855,4,-0.46667,-0.046875
855,5,-0.475,-0.090625
855,6,0.65417,0.05
856,2,0.32917,0.078125
856,3,0.5625,0.11563
856,4,-0.45833,-0.046875
856,5,-0.46667,-0.090625
856,6,0.64583,0.05
857,2,0.32083,0.08125
857,3,0.55417,0.11563
857,4,-0.45,-0.046875
857,5,-0.45833,-0.090625
857,6,0.63333,0.05
858,2,0.3125,0.08125
858,3,0.54583,0.11563
858,4,-0.44167,-0.046875
858,5,-0.45,-0.090625
858,6,0.625,0.05
859,2,0.30417,0.08125
859,3,0.5375,0.11563
859,4,-0.43333,-0.046875
859,5,-0.44167,-0.09375
859,6,0.6125,0.05
860,2,0.29583,0.08125
860,3,0.525,0.11563
860,4,-0.425,-0.046875
860,5,-0.43333,-0.09375
860,6,0.60417,0.05
861,2,0.2875,0.084375
861,3,0.51667,0.11875
861,4,-0.41667,-0.046875
861,5,-0.425,-0.096875
861,6,0.59167,0.046875
862,2,0.28333,0.084375
862,3,0.50833,0.11875
862,4,-0.40833,-0.05
862,5,-0.41667,-0.1
862,6,0.58333,0.046875
863,2,0.275,0.084375
863,3,0.49583,0.11875
863,4,-0.4,-0.05
863,5,-0.40833,-0.1
863,6,0.57083,0.046875
864,2,0.26667,0.084375
864,3,0.4875,0.11875
864,4,-0.39167,-0.05
864,5,-0.4,-0.10313
864,6,0.5625,0.046875
865,2,0.25833,0.084375
865,3,0.47917,0.11875
865,4,-0.38333,-0.05
865,5,-0.39167,-0.10313
865,6,0.55417,0.046875
866,2,0.25,0.084375
866,3,0.47083,0.11875
866,4,-0.375,-0.05
866,5,-0.38333,-0.10313
866,6,0.54583,0.046875
867,2,0.24167,0.0875
867,3,0.4625,0.11563
867,4,-0.36667,-0.05
867,5,-0.375,-0.10313
867,6,0.53333,0.04375
868,2,0.2375,0.0875
868,3,0.45417,0.11563
868,4,-0.35417,-0.05
868,5,-0.3625,-0.10313
868,6,0.525,0.04375
869,2,0.22917,0.0875
869,3,0.44583,0.11563
869,4,-0.34583,-0.05
869,5,-0.35417,-0.10313
869,6,0.51667,0.04375
870,2,0.22083,0.0875
870,3,0.4375,0.11563
870,4,-0.3375,-0.05
870,5,-0.34583,-0.10313
870,6,0.50833,0.04375
871,2,0.2125,0.0875
