FrameID,PedID,x,y
500,20,1.08,-3.38
500,21,2.25,-1.1
500,23,2.17,-5.15
500,24,0.28,2.62
500,25,-0.65,2.76
500,26,3.52,-4.05
510,20,1.05,-4.22
510,21,2.18,-0.39
510,23,2.11,-4.33
510,24,0.46,2.31
510,25,-0.43,2.54
510,26,3.44,-3.53
520,20,1.04,-4.79
520,21,2.28,0.46
520,23,2.11,-3.58
520,24,0.6,2.08
520,25,-0.27,2.31
520,26,3.43,-3
530,20,1.08,-5.47
530,21,2.24,1.16
530,23,1.93,-2.78
530,24,0.72,1.86
530,25,-0.07,2.07
530,26,3.38,-2.52
530,27,2.39,-7.92
540,20,1.11,-6.18
540,21,2.19,1.84
540,23,1.85,-2.02
540,24,0.72,1.58
540,25,0.07,1.81
540,26,3.34,-2.01
540,27,2.42,-7.26
550,20,1.28,-6.94
550,21,2.21,2.5
550,23,1.87,-1.28
550,24,0.76,1.31
550,25,0.16,1.49
550,26,3.35,-1.5
550,27,2.49,-6.63
560,20,1.37,-7.65
560,23,1.85,-0.53
560,24,0.84,0.96
560,25,0.28,1.19
560,26,3.23,-1.01
560,27,2.44,-5.95
570,20,1.5,-8.32
570,23,1.95,0.17
570,24,0.82,0.64
570,25,0.26,0.87
570,26,3.18,-0.56
570,27,2.44,-5.28
580,20,1.61,-9.01
580,23,2.01,0.92
580,24,0.86,0.32
580,25,0.3,0.56
580,26,3.19,-0.05
580,27,2.44,-4.66
590,20,1.66,-9.72
590,23,2.03,1.68
590,24,1.01,-0.03
590,25,0.26,0.24
590,26,3.15,0.45
590,27,2.34,-4.02
590,28,0.74,3.66
600,23,2.26,2.4
600,24,1.08,-0.36
600,25,0.26,-0.08
600,26,3.19,0.93
600,27,2.43,-3.38
600,28,0.78,3.33
610,24,1.13,-0.74
610,25,0.3,-0.43
610,26,3.22,1.41
610,27,2.46,-2.84
610,28,0.88,2.99
620,24,1.23,-1.12
620,25,0.26,-0.82
620,26,3.17,1.89
620,27,2.44,-2.31
620,28,0.93,2.63
630,24,1.3,-1.51
630,25,0.35,-1.22
630,27,2.64,-1.9
630,28,0.97,2.28
640,24,1.34,-1.85
640,25,0.37,-1.61
640,27,2.86,-1.57
640,28,1.08,1.92
650,24,1.43,-2.22
650,25,0.42,-2
650,27,3.06,-1.19
650,28,1.12,1.6
660,24,1.5,-2.57
660,25,0.51,-2.37
660,28,1.1,1.22
670,24,1.5,-2.95
670,25,0.55,-2.78
670,28,1.15,0.87
680,24,1.55,-3.36
680,25,0.68,-3.18
680,28,1.21,0.52
690,24,1.65,-3.85
690,25,0.71,-3.56
690,28,1.2,0.17
700,24,1.66,-4.31
700,25,0.8,-3.94
700,28,1.22,-0.18
710,24,1.68,-4.77
710,25,0.9,-4.31
710,28,1.33,-0.57
720,24,1.71,-5.23
720,25,0.88,-4.69
720,28,1.34,-1.01
720,29,-1.05,-5.71
720,30,-1.29,-7.53
730,24,1.65,-5.62
730,25,0.95,-5.1
730,28,1.3,-1.43
730,29,-0.87,-5.98
730,30,-1.29,-7.53
740,24,1.59,-6.02
740,25,0.92,-5.5
740,28,1.29,-1.93
740,29,-0.69,-6.28
740,30,-1.29,-7.53
750,24,1.66,-6.45
750,25,0.98,-5.91
750,28,1.19,-2.41
750,29,-0.45,-6.48
750,30,-1.29,-7.53
760,24,1.69,-6.81
760,25,0.99,-6.27
760,28,1.13,-2.91
760,29,-0.32,-6.82
760,30,-1.29,-7.53
770,24,1.71,-7.17
770,25,0.97,-6.65
770,28,1.13,-3.47
770,29,-0.12,-7.12
770,30,-1.29,-7.53
780,24,1.81,-7.46
780,25,1.08,-7.03
780,28,1.08,-4.01
780,29,0.1,-7.36
780,30,-1.29,-7.53
790,24,1.88,-7.73
790,25,1.14,-7.37
790,28,1.08,-4.47
790,29,0.15,-7.83
790,30,-1.29,-7.53
800,24,1.85,-7.98
800,25,1.23,-7.7
800,28,1.08,-4.99
800,29,0.3,-8.17
800,30,-1.29,-7.53
810,28,1.04,-5.45
810,30,-1.29,-7.53
1200,38,-1.31,-7.43
1200,45,1.48,-2.67
1200,46,-1.65,0.9
1200,47,-1.72,1.28
1200,48,2.47,-3.06
1210,38,-1.37,-7.55
1210,45,1.59,-3.28
1210,46,-1.65,0.9
1210,47,-1.72,1.28
1210,48,2.4,-2.38
1210,49,-1.07,-3.68
1220,38,-1.43,-7.56
1220,45,1.7,-4.07
1220,46,-1.65,0.9
1220,47,-1.72,1.28
1220,48,2.29,-1.68
1220,49,-0.82,-4.09
1230,38,-1.31,-7.43
1230,45,1.66,-5.03
1230,46,-1.65,0.9
1230,47,-1.72,1.28
1230,48,2.27,-1.04
1230,49,-0.45,-4.52
1240,38,-1.31,-7.43
1240,45,1.84,-5.82
1240,46,-1.65,0.9
1240,47,-1.72,1.28
1240,48,2.19,-0.42
1240,49,-0.18,-4.81
1240,51,0.93,3
1250,38,-1.31,-7.43
1250,45,1.98,-6.61
1250,46,-1.65,0.9
1250,47,-1.72,1.28
1250,48,2.21,0.19
1250,49,0.06,-5.32
1250,51,1.01,2.43
1260,38,-1.31,-7.43
1260,45,2.09,-7.4
1260,46,-1.65,0.9
1260,47,-1.72,1.28
1260,48,2.13,0.8
1260,49,0.36,-5.77
1260,51,1.04,1.85
1270,38,-1.33,-7.4
1270,45,2.28,-8.13
1270,46,-1.65,0.9
1270,47,-1.72,1.28
1270,48,2.09,1.34
1270,49,0.54,-6.36
1270,51,1.02,1.27
1280,38,-1.34,-7.36
1280,46,-1.65,0.9
1280,47,-1.72,1.28
1280,48,2.03,1.9
1280,49,0.56,-6.95
1280,51,1.1,0.64
1290,38,-1.36,-7.34
1290,46,-1.65,0.9
1290,47,-1.72,1.28
1290,48,1.91,2.44
