FrameID,PedID,x,y
10,0,5.35,-2.99
20,0,4.84,-2.97
30,0,4.32,-2.91
40,0,3.82,-2.84
50,0,3.34,-2.81
60,0,2.88,-2.85
70,0,2.45,-2.97
80,0,2,-3.12
90,0,1.53,-3.29
100,0,1.01,-3.45
110,0,0.48,-3.58
120,0,-0.06,-3.67
130,0,-0.59,-3.72
140,0,-1.12,-3.75
150,0,-1.66,-3.76
160,0,-2.21,-3.78
170,0,-2.76,-3.81
180,0,-3.28,-3.87
190,0,-3.79,-3.96
200,0,-4.28,-4.07
210,0,-4.75,-4.19
220,0,-5.21,-4.31
230,0,-5.67,-4.42
240,0,-6.12,-4.5
250,0,-6.58,-4.55
260,0,-7.03,-4.56
10,1,5.2,-2.5
20,1,4.7,-2.49
30,1,4.22,-2.44
40,1,3.77,-2.37
50,1,3.32,-2.32
60,1,2.86,-2.33
70,1,2.38,-2.41
80,1,1.88,-2.54
90,1,1.37,-2.69
100,1,0.85,-2.85
110,1,0.33,-3
120,1,-0.2,-3.1
130,1,-0.72,-3.17
140,1,-1.23,-3.2
150,1,-1.73,-3.2
160,1,-2.22,-3.19
170,1,-2.71,-3.19
180,1,-3.22,-3.22
190,1,-3.75,-3.28
200,1,-4.28,-3.36
210,1,-4.79,-3.42
220,1,-5.27,-3.47
230,1,-5.73,-3.51
240,1,-6.19,-3.56
250,1,-6.64,-3.62
260,1,-7.11,-3.71
10,2,3.92,-2.34
20,2,3.51,-2.27
30,2,3.11,-2.21
40,2,2.7,-2.16
50,2,2.29,-2.13
60,2,1.88,-2.09
70,2,1.47,-2.05
80,2,1.06,-2
90,2,0.64,-1.95
100,2,0.23,-1.9
110,2,-0.19,-1.86
120,2,-0.61,-1.83
130,2,-1.02,-1.82
140,2,-1.43,-1.81
150,2,-1.83,-1.81
160,2,-2.23,-1.82
170,2,-2.61,-1.81
180,2,-2.99,-1.81
190,2,-3.36,-1.79
200,2,-3.74,-1.77
210,2,-4.12,-1.73
220,2,-4.51,-1.68
230,2,-4.9,-1.61
240,2,-5.29,-1.51
250,2,-5.67,-1.39
260,2,-6.03,-1.23
270,2,-6.38,-1.05
280,2,-6.71,-0.86
290,2,-7.02,-0.67
300,2,-7.3,-0.49
10,3,3.77,-1.62
20,3,3.32,-1.56
30,3,2.9,-1.53
40,3,2.49,-1.53
50,3,2.09,-1.53
60,3,1.69,-1.54
70,3,1.29,-1.55
80,3,0.88,-1.53
90,3,0.46,-1.5
100,3,0.03,-1.44
110,3,-0.41,-1.38
120,3,-0.84,-1.31
130,3,-1.26,-1.26
140,3,-1.66,-1.21
150,3,-2.05,-1.17
160,3,-2.43,-1.14
170,3,-2.8,-1.1
180,3,-3.17,-1.06
190,3,-3.54,-1
200,3,-3.9,-0.95
210,3,-4.25,-0.89
220,3,-4.59,-0.84
230,3,-4.91,-0.79
240,3,-5.21,-0.74
250,3,-5.49,-0.68
260,3,-5.75,-0.6
270,3,-5.99,-0.49
280,3,-6.22,-0.36
290,3,-6.45,-0.21
300,3,-6.69,-0.04
310,3,-6.96,0.14
320,3,-7.26,0.32
10,4,0.78,-2.45
20,4,0.43,-2.49
30,4,0.08,-2.58
40,4,-0.27,-2.69
50,4,-0.62,-2.82
60,4,-0.98,-2.95
70,4,-1.35,-3.07
80,4,-1.73,-3.17
90,4,-2.11,-3.25
100,4,-2.5,-3.32
110,4,-2.89,-3.38
120,4,-3.28,-3.44
130,4,-3.66,-3.49
140,4,-4.04,-3.55
150,4,-4.4,-3.61
160,4,-4.77,-3.66
170,4,-5.12,-3.7
180,4,-5.48,-3.74
190,4,-5.82,-3.77
200,4,-6.17,-3.79
210,4,-6.5,-3.79
220,4,-6.84,-3.78
230,4,-7.17,-3.75
10,5,1.06,-3.45
20,5,1.55,-3.51
30,5,2.01,-3.55
40,5,2.44,-3.58
50,5,2.82,-3.57
60,5,3.15,-3.5
70,5,3.45,-3.36
