FrameID,PedID,x,y
0,122,5.65,14.79
0,14,3,14.36
0,20,3.45,15.04
0,25,-2.95,2.98
0,26,-2.2,-2.22
0,33,-2.27,6.23
0,5,8.38,10.5
0,27,-0.8,16.6
0,28,-2.08,-1.77
0,23,6.08,15.24
0,1,0.93,9.53
0,34,-2.42,7.2
0,18,2.48,16.39
0,31,8.98,-3.3
0,12,7.73,13.27
0,35,-2.05,15.35
0,247,6.28,13.44
0,19,3.62,17.04
0,24,6.93,16.77
0,9,6.6,-0.93
0,36,-2.12,10.9
0,16,-2,-0.37
0,8,6.83,-0.03
0,29,-2.8,-0.72
0,3,2.75,7.86
0,15,5.33,14.39
0,4,3.78,7.81
0,2,0.98,17.01
0,38,2.15,14.69
0,0,0.88,9.93
0,7,6.38,0.69
0,13,8.05,13.87
0,22,4.12,15.09
0,32,-2.23,-4.45
0,21,7.05,15.7
0,17,4.62,12.29
0,10,2.38,13.66
0,37,-2.38,16.35
5,4,3.68,6.94
5,12,7.33,13.52
5,25,-3,2.43
5,22,3.9,15.21
5,33,-2.27,6.23
5,27,-0.8,16.6
5,21,7.1,15.7
5,24,6.83,16.8
5,19,3.7,17.31
5,1,0.93,9.53
5,10,2.05,13.74
5,3,2.6,7.06
5,35,-2.08,15.35
5,26,-2.2,-2.35
5,0,0.83,9.93
5,5,7.68,10.87
5,18,2.35,15.79
5,15,5.03,14.77
5,13,7.83,14.22
5,7,5.95,0.12
5,2,0.48,17.83
5,23,6.08,15.27
5,383,2.73,14.79
5,8,6.45,-0.48
5,36,-2.15,10.9
5,37,-2.4,16.38
5,14,2.8,15.21
5,122,5.33,15.04
5,32,-2.23,-4.45
5,34,-2.45,7.2
5,16,-2.02,-0.37
5,17,3.8,12.69
5,247,5.97,13.44
5,20,3.4,14.96
5,28,-2.7,-1.75
5,9,6.28,-1.36
10,18,2.12,15.01
10,1,0.88,9.53
10,24,6.83,16.8
10,19,3.45,17.99
10,22,4,15.21
10,247,5.7,13.84
10,8,6.22,-1.18
10,14,2.65,15.91
10,0,0.75,10.01
10,35,-2.1,15.35
10,34,-2.42,7.2
10,3,2.58,6.14
10,7,5.43,-0.43
10,10,1.65,13.83
10,16,-2.02,-0.37
10,20,3.38,14.96
10,27,-1.42,17.15
10,26,-2.23,-2.35
10,25,-2.8,1.28
10,17,3.35,13.21
10,33,-2.27,6.25
10,32,-2.25,-4.45
10,122,5.08,15.04
10,36,-2.15,10.9
10,4,3.4,6.26
10,12,7.12,13.72
10,23,6.08,15.27
10,37,-2.4,16.38
10,9,6,-1.83
10,2,0.05,18.56
10,5,7.12,11.6
10,13,7.62,14.7
10,21,7.08,15.72
10,15,5.03,14.97
15,21,7.08,15.72
15,5,6.65,11.77
15,37,-2.42,16.38
15,26,-2.23,-2.32
15,40,8.12,0.72
15,15,4.73,15.32
15,24,6.75,16.92
15,34,-2.42,7.23
15,39,8.98,11.85
15,7,4.98,-1.01
15,0,0.83,10.16
15,23,6.05,15.27
15,122,4.45,16.32
15,18,1.67,14.96
15,36,-2.12,10.9
15,9,5.88,-2.36
15,16,-2.02,-0.22
15,27,-1.67,17.73
15,1,0.75,9.61
15,12,6.85,14.15
15,247,5.5,14.09
15,3,2.43,5.51
15,35,-2.1,15.38
15,8,5.68,-1.46
15,383,8.45,11.8
15,33,-2.27,6.28
15,22,3.6,15.91
15,2,-0.4,18.81
15,19,3.6,18.36
15,10,1.65,14.33
15,14,2.35,16.29
15,32,-2.3,-4.42
15,4,3.28,5.54
15,20,3.4,14.96
15,13,7.4,14.87
15,17,3.25,13.24
20,14,1.73,17.11
20,24,6.73,16.92
20,13,7.4,15.17
20,19,3.9,18.74
20,16,-1.97,-0.22
20,40,7.65,0.07
20,17,2.73,13.59
20,5,6.22,12.37
20,9,5.55,-2.78
20,39,8.68,12.4
20,10,0.95,15.86
20,36,-2.12,10.93
20,35,-2.1,15.4
20,12,6.78,14.62
20,37,-2.45,16.38
