FrameID,PedID,x,y
0,1,0.42708,0.775
1,1,0.42708,0.76944
2,1,0.42708,0.76111
3,1,0.42708,0.75556
4,1,0.42708,0.74722
5,1,0.42708,0.74167
6,1,0.42708,0.73333
7,1,0.42708,0.72778
8,1,0.42708,0.71944
9,1,0.42708,0.71389
10,1,0.42708,0.70833
11,1,0.42708,0.7
12,1,0.42708,0.69444
13,1,0.42708,0.68611
14,1,0.42708,0.68056
15,1,0.42708,0.67222
16,1,0.42708,0.66667
17,1,0.42708,0.66111
18,1,0.42708,0.65278
19,1,0.42708,0.64722
20,1,0.42708,0.63889
21,1,0.42708,0.63333
22,1,0.42708,0.625
23,1,0.42708,0.61944
24,1,0.42708,0.61111
25,1,0.42708,0.60556
26,1,0.42708,0.6
27,1,0.42708,0.59167
28,1,0.42708,0.58611
29,1,0.42361,0.58056
30,1,0.42361,0.57222
31,1,0.42361,0.56667
32,1,0.42361,0.56111
33,1,0.42361,0.55278
34,1,0.42361,0.54722
35,1,0.42014,0.54167
36,1,0.42014,0.53333
37,1,0.42014,0.52778
38,1,0.42014,0.52222
39,1,0.42014,0.51389
40,1,0.42014,0.50833
41,1,0.41667,0.50278
42,1,0.41667,0.49444
43,1,0.41667,0.48889
44,1,0.41667,0.48333
45,1,0.41667,0.475
46,1,0.41667,0.46944
47,1,0.41319,0.46389
48,1,0.41319,0.45556
49,1,0.41319,0.45
50,1,0.41319,0.44444
51,1,0.41319,0.43611
52,1,0.41319,0.43056
53,1,0.40972,0.425
54,1,0.40972,0.41667
55,1,0.40972,0.41111
56,1,0.41319,0.40556
57,1,0.41319,0.4
58,1,0.41667,0.39444
59,1,0.41667,0.38611
60,1,0.42014,0.38056
61,1,0.42014,0.375
62,1,0.42361,0.36944
63,1,0.42361,0.36389
64,1,0.42708,0.35833
65,1,0.42708,0.35278
66,1,0.43056,0.34722
67,1,0.43403,0.33889
68,1,0.43403,0.33333
69,1,0.4375,0.32778
70,1,0.4375,0.32222
71,1,0.44097,0.31667
72,1,0.44097,0.31111
73,1,0.44444,0.30556
74,1,0.44444,0.3
75,1,0.44792,0.29167
76,1,0.45139,0.28611
77,1,0.45139,0.28056
78,1,0.45486,0.275
79,1,0.45486,0.26944
80,1,0.45833,0.26389
81,1,0.45833,0.25833
82,1,0.46181,0.25278
83,1,0.46181,0.24444
84,1,0.46528,0.23889
85,1,0.46528,0.23333
86,1,0.46875,0.22778
87,1,0.47222,0.22222
88,1,0.47222,0.21389
89,1,0.47569,0.20833
90,1,0.47569,0.2
91,1,0.47917,0.19444
92,1,0.48264,0.18611
93,1,0.48264,0.18056
94,1,0.48611,0.17222
95,1,0.48611,0.16667
96,1,0.48958,0.15833
97,1,0.49306,0.15278
98,1,0.49306,0.14444
99,1,0.49653,0.13889
100,1,0.49653,0.13056
101,1,0.5,0.125
102,1,0.5,0.11667
103,1,0.50347,0.11111
104,1,0.50694,0.10278
105,1,0.50694,0.097222
106,1,0.51042,0.088889
107,1,0.51042,0.083333
108,1,0.51389,0.075
109,1,0.51736,0.069444
110,1,0.51736,0.061111
111,1,0.52083,0.055556
112,1,0.52083,0.047222
113,1,0.52431,0.041667
114,1,0.52431,0.033333
115,1,0.52431,0.027778
116,1,0.52778,0.019444
117,1,0.52778,0.013889
118,1,0.52778,0.0055556
119,1,0.52778,0
120,1,0.52778,-0.0083333
121,1,0.53125,-0.013889
122,1,0.53125,-0.022222
123,1,0.53125,-0.027778
124,1,0.53125,-0.036111
125,1,0.53125,-0.041667
126,1,0.53472,-0.05
127,1,0.53472,-0.055556
128,1,0.53472,-0.063889
129,1,0.53472,-0.072222
130,1,0.53472,-0.077778
131,1,0.53819,-0.086111
132,1,0.53819,-0.091667
133,1,0.53819,-0.1
134,1,0.53819,-0.10556
135,1,0.53819,-0.11389
136,1,0.54167,-0.11944
137,1,0.54167,-0.12778
138,1,0.54167,-0.13333
139,1,0.54167,-0.14167
140,1,0.54167,-0.14722
141,1,0.54514,-0.15556
142,1,0.54514,-0.16111
143,1,0.54514,-0.16944
144,1,0.54514,-0.17778
145,1,0.54514,-0.18333
146,1,0.54514,-0.19167
147,1,0.54514,-0.19722
148,1,0.54861,-0.20556
149,1,0.54861,-0.21389
150,1,0.54861,-0.21944
151,1,0.54861,-0.22778
152,1,0.54861,-0.23333
153,1,0.54861,-0.24167
154,1,0.54861,-0.25
155,1,0.54861,-0.25556
156,1,0.54861,-0.26389
157,1,0.54861,-0.26944
158,1,0.55208,-0.27778
159,1,0.55208,-0.28611
160,1,0.55208,-0.29167
161,1,0.55208,-0.3
162,1,0.55208,-0.30556
163,1,0.55208,-0.31389
164,1,0.55208,-0.32222
165,1,0.55208,-0.32778
166,1,0.55208,-0.33611
167,1,0.55208,-0.34167
168,1,0.55556,-0.35
169,1,0.55556,-0.35833
170,1,0.55556,-0.36389
171,1,0.55556,-0.37222
172,1,0.55556,-0.37778
173,1,0.55556,-0.38611
174,1,0.55556,-0.39167
175,1,0.55903,-0.4
176,1,0.55903,-0.40556
177,1,0.5625,-0.41111
178,1,0.5625,-0.41944
179,1,0.5625,-0.425
180,1,0.56597,-0.43333
181,1,0.56597,-0.43889
182,1,0.56944,-0.44444
183,1,0.56944,-0.45278
184,1,0.57292,-0.45833
185,1,0.57292,-0.46389
186,1,0.57292,-0.47222
187,1,0.57639,-0.47778
188,1,0.57639,-0.48333
189,1,0.57986,-0.49167
190,1,0.57986,-0.49722
191,1,0.57986,-0.50278
192,1,0.58333,-0.51111
193,1,0.58333,-0.51667
194,1,0.58681,-0.525
195,1,0.58681,-0.53056
196,1,0.59028,-0.53611
197,1,0.59028,-0.54444
198,1,0.59028,-0.55
199,1,0.59375,-0.55556
200,1,0.59375,-0.56389
201,1,0.59722,-0.56944
202,1,0.59722,-0.575
203,1,0.59722,-0.58333
204,1,0.60069,-0.58889
205,1,0.60069,-0.59722
206,1,0.60417,-0.60278
207,1,0.60417,-0.60833
208,1,0.60764,-0.61667
209,1,0.60764,-0.62222
210,1,0.60764,-0.62778
211,1,0.61111,-0.63333
212,1,0.61111,-0.64167
213,1,0.61111,-0.64722
214,1,0.61111,-0.65278
215,1,0.61458,-0.65833
216,1,0.61458,-0.66389
217,1,0.61458,-0.66944
218,1,0.61458,-0.67778
219,1,0.61806,-0.68333
220,1,0.61806,-0.68889
221,1,0.61806,-0.69444
222,1,0.61806,-0.7
223,1,0.62153,-0.70556
224,1,0.62153,-0.71389
225,1,0.62153,-0.71944
226,1,0.625,-0.725
227,1,0.625,-0.73056
228,1,0.625,-0.73611
229,1,0.625,-0.74444
230,1,0.62847,-0.75
231,1,0.62847,-0.75556
232,1,0.62847,-0.76111
233,1,0.62847,-0.76667
234,1,0.63194,-0.77222
235,1,0.63194,-0.78056
236,1,0.63194,-0.78611
237,1,0.63542,-0.79167
238,1,0.63542,-0.79722
239,1,0.63542,-0.80278
240,1,0.63542,-0.81111
241,1,0.63889,-0.81667
242,1,0.63889,-0.82222
243,1,0.63889,-0.82778
244,1,0.63889,-0.83333
245,1,0.64236,-0.83889
246,1,0.64236,-0.84722
247,1,0.64236,-0.85278
248,1,0.64236,-0.85833
249,1,0.64583,-0.86389
250,1,0.64583,-0.86944
251,1,0.64583,-0.875
252,1,0.64931,-0.88333
253,1,0.64931,-0.88889
254,1,0.64931,-0.89444
255,1,0.64931,-0.9
256,1,0.65278,-0.90556
257,1,0.65278,-0.91389
258,1,0.65278,-0.91944
259,1,0.65278,-0.925
